Test number,PR url,Files updated,Vulnerabilities
1,https://github.com/GuillaumeFalourd/stackspot-actions/pull/209,2,['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: vulnerability', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: vulnerability', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: vulnerability']
2,https://github.com/GuillaumeFalourd/stackspot-actions/pull/210,2,['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: vulnerability', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: vulnerability', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: vulnerability']
3,https://github.com/GuillaumeFalourd/stackspot-actions/pull/211,2,['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: vulnerability', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: vulnerability', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: vulnerability']
